datetime,unixtime,YEAR,MONTH,DAY,HOUR,TYPHOON NUMBER,CLUSTER NUMBER,LAT,LON
2023-06-01 00:00:00,1685577600,2023,6,1,0,2301,0,17.42285714285714,144.77999999999997
2023-06-01 06:00:00,1685599200,2023,6,1,6,2301,0,17.997105118583605,144.38415262054886
2023-06-01 12:00:00,1685620800,2023,6,1,12,2301,0,18.917354118955227,143.7149933989054
2023-06-01 18:00:00,1685642400,2023,6,1,18,2301,0,19.46322294850417,143.23332227116163
2023-06-02 00:00:00,1685664000,2023,6,2,0,2301,0,20.224814875902165,142.44997929502415
2023-06-02 06:00:00,1685685600,2023,6,2,6,2301,0,21.004613700705487,141.7027515458868
2023-06-02 12:00:00,1685707200,2023,6,2,12,2301,0,21.550247279849316,141.19923990082907
2023-06-02 18:00:00,1685728800,2023,6,2,18,2301,0,22.325150737281028,140.55171011163074
2023-06-03 00:00:00,1685750400,2023,6,3,0,2301,0,22.83896880691533,140.17729307134283
2023-06-03 06:00:00,1685772000,2023,6,3,6,2301,0,23.64794909069266,139.64996294242053
2023-06-03 12:00:00,1685793600,2023,6,3,12,2301,0,24.442674986594454,139.24354950858927
2023-06-03 18:00:00,1685815200,2023,6,3,18,2301,0,24.993845713947273,139.01301949524017
2023-06-04 00:00:00,1685836800,2023,6,4,0,2301,0,25.840075483957825,138.67443018483928
2023-06-04 06:00:00,1685858400,2023,6,4,6,2301,0,26.414314199046302,138.42493952588833
2023-06-04 12:00:00,1685880000,2023,6,4,12,2301,0,27.33876192322241,138.15984900888867
2023-06-04 18:00:00,1685901600,2023,6,4,18,2301,0,28.383708320301995,138.0533570196097
2023-06-05 00:00:00,1685923200,2023,6,5,0,2301,0,29.038877917068824,138.06324609856878
2023-06-05 06:00:00,1685944800,2023,6,5,6,2301,0,29.99814204461354,138.29030693592514
2023-06-05 12:00:00,1685966400,2023,6,5,12,2301,0,30.630349956720245,138.46393171415716
2023-06-05 18:00:00,1685988000,2023,6,5,18,2301,0,31.55052221283461,138.80497722405866
